ep_str,r_str,ep,r
Episode 0,Reward: 125.0,0,125
Episode 1,Reward: 0.0,1,0
Episode 2,Reward: 0.0,2,0
Episode 3,Reward: 150.0,3,150
Episode 4,Reward: 25.0,4,25
Episode 5,Reward: 0.0,5,0
Episode 6,Reward: 275.0,6,275
Episode 7,Reward: 100.0,7,100
Episode 8,Reward: 200.0,8,200
Episode 9,Reward: 100.0,9,100
Episode 10,Reward: 100.0,10,100
Episode 11,Reward: 375.0,11,375
Episode 12,Reward: 25.0,12,25
Episode 13,Reward: 100.0,13,100
Episode 14,Reward: 75.0,14,75
Episode 15,Reward: 275.0,15,275
Episode 16,Reward: 200.0,16,200
Episode 17,Reward: 200.0,17,200
Episode 18,Reward: 275.0,18,275
Episode 19,Reward: 275.0,19,275
Episode 20,Reward: 25.0,20,25
Episode 21,Reward: 475.0,21,475
Episode 22,Reward: 175.0,22,175
Episode 23,Reward: 425.0,23,425
Episode 24,Reward: 50.0,24,50
Episode 25,Reward: 575.0,25,575
Episode 26,Reward: 75.0,26,75
Episode 27,Reward: 175.0,27,175
Episode 28,Reward: 125.0,28,125
Episode 29,Reward: 300.0,29,300
Episode 30,Reward: 350.0,30,350
Episode 31,Reward: 250.0,31,250
Episode 32,Reward: 175.0,32,175
Episode 33,Reward: 475.0,33,475
Episode 34,Reward: 525.0,34,525
Episode 35,Reward: 650.0,35,650
Episode 36,Reward: 200.0,36,200
Episode 37,Reward: 575.0,37,575
Episode 38,Reward: 725.0,38,725
Episode 39,Reward: 425.0,39,425
Episode 40,Reward: 450.0,40,450
Episode 41,Reward: 600.0,41,600
Episode 42,Reward: 425.0,42,425
Episode 43,Reward: 475.0,43,475
Episode 44,Reward: 425.0,44,425
Episode 45,Reward: 575.0,45,575
Episode 46,Reward: 225.0,46,225
Episode 47,Reward: 150.0,47,150
Episode 48,Reward: 200.0,48,200
Episode 49,Reward: 100.0,49,100
Episode 50,Reward: 275.0,50,275
Episode 51,Reward: 475.0,51,475
Episode 52,Reward: 325.0,52,325
Episode 53,Reward: 300.0,53,300
Episode 54,Reward: 175.0,54,175
Episode 55,Reward: 525.0,55,525
Episode 56,Reward: 525.0,56,525
Episode 57,Reward: 500.0,57,500
Episode 58,Reward: 525.0,58,525
Episode 59,Reward: 550.0,59,550
Episode 60,Reward: 425.0,60,425
Episode 61,Reward: 525.0,61,525
Episode 62,Reward: 275.0,62,275
Episode 63,Reward: 225.0,63,225
Episode 64,Reward: 700.0,64,700
Episode 65,Reward: 200.0,65,200
Episode 66,Reward: 300.0,66,300
Episode 67,Reward: 225.0,67,225
Episode 68,Reward: 200.0,68,200
Episode 69,Reward: 300.0,69,300
Episode 70,Reward: 225.0,70,225
Episode 71,Reward: 725.0,71,725
Episode 72,Reward: 575.0,72,575
Episode 73,Reward: 750.0,73,750
Episode 74,Reward: 600.0,74,600
Episode 75,Reward: 475.0,75,475
Episode 76,Reward: 350.0,76,350
Episode 77,Reward: 625.0,77,625
Episode 78,Reward: 325.0,78,325
Episode 79,Reward: 375.0,79,375
Episode 80,Reward: 575.0,80,575
Episode 81,Reward: 650.0,81,650
Episode 82,Reward: 600.0,82,600
Episode 83,Reward: 375.0,83,375
Episode 84,Reward: 625.0,84,625
Episode 85,Reward: 400.0,85,400
Episode 86,Reward: 575.0,86,575
Episode 87,Reward: 550.0,87,550
Episode 88,Reward: 550.0,88,550
Episode 89,Reward: 525.0,89,525
Episode 90,Reward: 200.0,90,200
Episode 91,Reward: 250.0,91,250
Episode 92,Reward: 500.0,92,500
Episode 93,Reward: 375.0,93,375
Episode 94,Reward: 600.0,94,600
Episode 95,Reward: 175.0,95,175
Episode 96,Reward: 625.0,96,625
Episode 97,Reward: 600.0,97,600
Episode 98,Reward: 300.0,98,300
Episode 99,Reward: 475.0,99,475
Episode 100,Reward: 575.0,100,575
Episode 101,Reward: 550.0,101,550
Episode 102,Reward: 725.0,102,725
Episode 103,Reward: 525.0,103,525
Episode 104,Reward: 500.0,104,500
Episode 105,Reward: 650.0,105,650
Episode 106,Reward: 650.0,106,650
Episode 107,Reward: 300.0,107,300
Episode 108,Reward: 550.0,108,550
Episode 109,Reward: 425.0,109,425
Episode 110,Reward: 600.0,110,600
Episode 111,Reward: 600.0,111,600
Episode 112,Reward: 450.0,112,450
Episode 113,Reward: 475.0,113,475
Episode 114,Reward: 625.0,114,625
Episode 115,Reward: 575.0,115,575
Episode 116,Reward: 600.0,116,600
Episode 117,Reward: 650.0,117,650
Episode 118,Reward: 550.0,118,550
Episode 119,Reward: 650.0,119,650
Episode 120,Reward: 700.0,120,700
Episode 121,Reward: 475.0,121,475
Episode 122,Reward: 175.0,122,175
Episode 123,Reward: 225.0,123,225
Episode 124,Reward: 575.0,124,575
Episode 125,Reward: 500.0,125,500
Episode 126,Reward: 600.0,126,600
Episode 127,Reward: 650.0,127,650
Episode 128,Reward: 475.0,128,475
Episode 129,Reward: 525.0,129,525
Episode 130,Reward: 475.0,130,475
Episode 131,Reward: 475.0,131,475
Episode 132,Reward: 700.0,132,700
Episode 133,Reward: 600.0,133,600
Episode 134,Reward: 475.0,134,475
Episode 135,Reward: 450.0,135,450
Episode 136,Reward: 450.0,136,450
Episode 137,Reward: 500.0,137,500
Episode 138,Reward: 1200.0,138,1200
Episode 139,Reward: 450.0,139,450
Episode 140,Reward: 475.0,140,475
Episode 141,Reward: 475.0,141,475
Episode 142,Reward: 475.0,142,475
Episode 143,Reward: 550.0,143,550
Episode 144,Reward: 125.0,144,125
Episode 145,Reward: 350.0,145,350
